,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,subject,condition,fix_binarized
4,5,burger,0.0,0,0,sub011,count trash,0.0
5,6,pizza,2.0,1,1,sub011,count trash,1.0
6,7,marijuana_driving,0.0,0,0,sub011,count trash,0.0
7,8,coffee,1.0,0,0,sub011,count trash,1.0
8,9,underage_drinking,0.0,0,0,sub011,count trash,0.0
9,10,distracted_driving,0.0,0,0,sub011,count trash,0.0
10,11,drugged_driving,0.0,0,0,sub011,count trash,0.0
11,12,lawyer,0.0,0,0,sub011,count trash,0.0
12,13,binge_drinking,1.0,0,0,sub011,count trash,1.0
13,14,hotel,0.0,0,0,sub011,count trash,0.0
14,15,brunch,0.0,0,1,sub011,count trash,0.0
15,16,salad,0.0,0,0,sub011,count trash,0.0
16,17,disobey_vape,0.0,0,1,sub011,count trash,0.0
17,18,smartphone,0.0,0,0,sub011,count trash,0.0
18,19,buckle_up,0.0,0,0,sub011,count trash,0.0
19,20,drunk_driving,0.0,0,0,sub011,count trash,0.0
0,1,texting_driving,0.0,0,0,sub012,count trash,0.0
1,2,disobey_vape,1.0,0,0,sub012,count trash,1.0
2,3,burger,0.0,1,1,sub012,count trash,0.0
3,4,drunk_driving,0.0,0,0,sub012,count trash,0.0
4,5,coffee,1.0,0,0,sub012,count trash,1.0
5,6,drugged_driving,0.0,0,0,sub012,count trash,0.0
6,7,smartphone,0.0,0,0,sub012,count trash,0.0
7,8,salad,2.0,0,0,sub012,count trash,1.0
8,9,stop_smoking,1.0,0,0,sub012,count trash,1.0
9,10,furniture,2.0,0,0,sub012,count trash,1.0
10,11,pizza,6.0,0,1,sub012,count trash,1.0
11,12,marijuana_driving,3.0,0,0,sub012,count trash,1.0
12,13,binge_drinking,1.0,0,0,sub012,count trash,1.0
13,14,lawyer,2.0,0,1,sub012,count trash,1.0
14,15,education_donation,3.0,0,1,sub012,count trash,1.0
15,16,distracted_driving,0.0,0,0,sub012,count trash,0.0
16,17,underage_drinking,1.0,0,0,sub012,count trash,1.0
17,18,buckle_up,2.0,0,1,sub012,count trash,1.0
18,19,brunch,0.0,0,0,sub012,count trash,0.0
19,20,hotel,5.0,0,0,sub012,count trash,1.0
0,1,brunch,0.0,0,0,sub013,count trash,0.0
1,2,texting_driving,3.0,0,1,sub013,count trash,1.0
2,3,lawyer,3.0,0,0,sub013,count trash,1.0
3,4,distracted_driving,1.0,0,0,sub013,count trash,1.0
4,5,disobey_vape,4.0,1,1,sub013,count trash,1.0
5,6,salad,2.0,1,1,sub013,count trash,1.0
6,7,buckle_up,5.0,1,1,sub013,count trash,1.0
7,8,pizza,1.0,1,1,sub013,count trash,1.0
8,9,stop_smoking,4.0,0,1,sub013,count trash,1.0
9,10,burger,2.0,1,1,sub013,count trash,1.0
10,11,furniture,3.0,0,0,sub013,count trash,1.0
11,12,drunk_driving,1.0,0,0,sub013,count trash,1.0
12,13,underage_drinking,3.0,0,0,sub013,count trash,1.0
13,14,marijuana_driving,3.0,1,1,sub013,count trash,1.0
14,15,coffee,1.0,0,0,sub013,count trash,1.0
15,16,hotel,0.0,0,0,sub013,count trash,0.0
16,17,binge_drinking,4.0,0,0,sub013,count trash,1.0
17,18,drugged_driving,3.0,1,1,sub013,count trash,1.0
18,19,education_donation,1.0,0,0,sub013,count trash,1.0
19,20,smartphone,2.0,0,0,sub013,count trash,1.0
0,1,drugged_driving,0.0,0,0,sub014,count trash,0.0
1,2,underage_drinking,0.0,0,0,sub014,count trash,0.0
2,3,salad,0.0,0,1,sub014,count trash,0.0
3,4,burger,0.0,0,0,sub014,count trash,0.0
4,5,distracted_driving,0.0,0,0,sub014,count trash,0.0
5,6,hotel,0.0,0,0,sub014,count trash,0.0
6,7,buckle_up,1.0,0,0,sub014,count trash,1.0
7,8,education_donation,0.0,0,0,sub014,count trash,0.0
8,9,coffee,0.0,0,0,sub014,count trash,0.0
9,10,texting_driving,0.0,0,0,sub014,count trash,0.0
10,11,binge_drinking,0.0,0,0,sub014,count trash,0.0
11,12,drunk_driving,0.0,0,0,sub014,count trash,0.0
12,13,stop_smoking,0.0,0,0,sub014,count trash,0.0
13,14,lawyer,0.0,0,1,sub014,count trash,0.0
14,15,brunch,0.0,0,1,sub014,count trash,0.0
15,16,marijuana_driving,0.0,0,0,sub014,count trash,0.0
16,17,furniture,0.0,0,0,sub014,count trash,0.0
17,18,pizza,0.0,0,0,sub014,count trash,0.0
18,19,disobey_vape,0.0,0,0,sub014,count trash,0.0
19,20,smartphone,0.0,1,1,sub014,count trash,0.0
0,1,education_donation,0.0,0,0,sub015,count trash,0.0
1,2,hotel,1.0,0,0,sub015,count trash,1.0
2,3,buckle_up,1.0,1,1,sub015,count trash,1.0
3,4,texting_driving,1.0,0,0,sub015,count trash,1.0
4,5,furniture,0.0,0,0,sub015,count trash,0.0
5,6,coffee,2.0,1,1,sub015,count trash,1.0
6,7,brunch,0.0,0,0,sub015,count trash,0.0
7,8,burger,0.0,0,0,sub015,count trash,0.0
8,9,stop_smoking,0.0,0,0,sub015,count trash,0.0
9,10,distracted_driving,1.0,0,0,sub015,count trash,1.0
10,11,smartphone,0.0,0,0,sub015,count trash,0.0
11,12,binge_drinking,0.0,0,0,sub015,count trash,0.0
12,13,lawyer,0.0,0,0,sub015,count trash,0.0
13,14,disobey_vape,0.0,0,0,sub015,count trash,0.0
14,15,pizza,0.0,0,0,sub015,count trash,0.0
15,16,salad,0.0,0,0,sub015,count trash,0.0
16,17,marijuana_driving,0.0,0,0,sub015,count trash,0.0
17,18,drunk_driving,0.0,0,0,sub015,count trash,0.0
18,19,underage_drinking,0.0,0,0,sub015,count trash,0.0
19,20,drugged_driving,0.0,0,0,sub015,count trash,0.0
0,1,disobey_vape,1.0,0,0,sub016,count trash,1.0
1,2,binge_drinking,2.0,0,1,sub016,count trash,1.0
2,3,coffee,2.0,0,1,sub016,count trash,1.0
3,4,furniture,1.0,0,0,sub016,count trash,1.0
4,5,burger,1.0,0,0,sub016,count trash,1.0
5,6,salad,1.0,0,1,sub016,count trash,1.0
6,7,texting_driving,0.0,0,0,sub016,count trash,0.0
7,8,hotel,3.0,0,1,sub016,count trash,1.0
8,9,education_donation,1.0,0,1,sub016,count trash,1.0
9,10,drunk_driving,2.0,1,0,sub016,count trash,1.0
10,11,drugged_driving,2.0,0,0,sub016,count trash,1.0
11,12,smartphone,3.0,0,0,sub016,count trash,1.0
12,13,lawyer,1.0,0,0,sub016,count trash,1.0
13,14,buckle_up,1.0,0,1,sub016,count trash,1.0
14,15,distracted_driving,2.0,0,0,sub016,count trash,1.0
15,16,stop_smoking,1.0,0,0,sub016,count trash,1.0
16,17,underage_drinking,1.0,0,0,sub016,count trash,1.0
17,18,brunch,1.0,0,1,sub016,count trash,1.0
18,19,pizza,2.0,1,1,sub016,count trash,1.0
19,20,marijuana_driving,4.0,0,1,sub016,count trash,1.0
0,1,drugged_driving,0.0,0,0,sub017,count trash,0.0
1,2,underage_drinking,1.0,0,0,sub017,count trash,1.0
2,3,marijuana_driving,0.0,0,0,sub017,count trash,0.0
3,4,smartphone,1.0,0,0,sub017,count trash,1.0
4,5,salad,1.0,1,1,sub017,count trash,1.0
5,6,burger,0.0,0,1,sub017,count trash,0.0
6,7,furniture,1.0,0,0,sub017,count trash,1.0
7,8,disobey_vape,0.0,0,0,sub017,count trash,0.0
8,9,coffee,4.0,0,0,sub017,count trash,1.0
9,10,drunk_driving,1.0,0,0,sub017,count trash,1.0
10,11,pizza,5.0,0,0,sub017,count trash,1.0
11,12,hotel,0.0,0,0,sub017,count trash,0.0
12,13,distracted_driving,2.0,0,1,sub017,count trash,1.0
13,14,brunch,0.0,0,0,sub017,count trash,0.0
14,15,stop_smoking,7.0,0,1,sub017,count trash,1.0
15,16,lawyer,1.0,0,0,sub017,count trash,1.0
16,17,education_donation,0.0,0,0,sub017,count trash,0.0
17,18,binge_drinking,1.0,0,1,sub017,count trash,1.0
18,19,texting_driving,3.0,1,0,sub017,count trash,1.0
19,20,buckle_up,2.0,1,1,sub017,count trash,1.0
0,1,distracted_driving,0.0,0,0,sub018,count trash,0.0
1,2,texting_driving,0.0,0,0,sub018,count trash,0.0
2,3,coffee,1.0,1,1,sub018,count trash,1.0
3,4,furniture,1.0,0,0,sub018,count trash,1.0
4,5,marijuana_driving,0.0,1,0,sub018,count trash,0.0
5,6,brunch,1.0,0,1,sub018,count trash,1.0
6,7,hotel,3.0,0,1,sub018,count trash,1.0
7,8,stop_smoking,1.0,1,1,sub018,count trash,1.0
8,9,buckle_up,2.0,1,1,sub018,count trash,1.0
9,10,smartphone,1.0,0,0,sub018,count trash,1.0
10,11,lawyer,3.0,0,0,sub018,count trash,1.0
11,12,underage_drinking,2.0,0,0,sub018,count trash,1.0
12,13,education_donation,2.0,0,0,sub018,count trash,1.0
13,14,pizza,0.0,0,0,sub018,count trash,0.0
14,15,burger,2.0,0,0,sub018,count trash,1.0
15,16,drugged_driving,0.0,0,1,sub018,count trash,0.0
16,17,disobey_vape,1.0,0,0,sub018,count trash,1.0
17,18,binge_drinking,0.0,0,1,sub018,count trash,0.0
18,19,drunk_driving,1.0,0,1,sub018,count trash,1.0
19,20,salad,2.0,0,1,sub018,count trash,1.0
0,1,distracted_driving,1.0,0,1,sub019,count trash,1.0
1,2,salad,0.0,0,0,sub019,count trash,0.0
2,3,lawyer,0.0,0,0,sub019,count trash,0.0
3,4,coffee,0.0,0,1,sub019,count trash,0.0
4,5,stop_smoking,0.0,0,0,sub019,count trash,0.0
5,6,texting_driving,2.0,0,1,sub019,count trash,1.0
6,7,underage_drinking,1.0,0,0,sub019,count trash,1.0
7,8,disobey_vape,0.0,0,0,sub019,count trash,0.0
8,9,marijuana_driving,0.0,0,0,sub019,count trash,0.0
9,10,drunk_driving,0.0,0,0,sub019,count trash,0.0
10,11,hotel,1.0,0,1,sub019,count trash,1.0
11,12,drugged_driving,1.0,0,1,sub019,count trash,1.0
12,13,education_donation,2.0,0,1,sub019,count trash,1.0
13,14,furniture,1.0,0,0,sub019,count trash,1.0
14,15,brunch,1.0,1,1,sub019,count trash,1.0
15,16,buckle_up,0.0,1,1,sub019,count trash,0.0
16,17,binge_drinking,0.0,0,0,sub019,count trash,0.0
17,18,burger,0.0,0,0,sub019,count trash,0.0
18,19,pizza,0.0,0,0,sub019,count trash,0.0
19,20,smartphone,1.0,0,0,sub019,count trash,1.0
0,1,distracted_driving,1.0,0,0,sub020,count trash,1.0
1,2,burger,2.0,0,0,sub020,count trash,1.0
2,3,stop_smoking,2.0,0,0,sub020,count trash,1.0
3,4,drunk_driving,1.0,1,0,sub020,count trash,1.0
4,5,underage_drinking,3.0,0,1,sub020,count trash,1.0
5,6,pizza,2.0,1,1,sub020,count trash,1.0
6,7,brunch,2.0,0,1,sub020,count trash,1.0
7,8,buckle_up,2.0,0,1,sub020,count trash,1.0
8,9,disobey_vape,1.0,0,1,sub020,count trash,1.0
9,10,furniture,1.0,0,0,sub020,count trash,1.0
10,11,texting_driving,3.0,0,0,sub020,count trash,1.0
11,12,lawyer,2.0,0,0,sub020,count trash,1.0
12,13,smartphone,2.0,0,0,sub020,count trash,1.0
13,14,salad,1.0,1,1,sub020,count trash,1.0
14,15,drugged_driving,2.0,1,1,sub020,count trash,1.0
15,16,coffee,1.0,0,1,sub020,count trash,1.0
16,17,marijuana_driving,1.0,1,0,sub020,count trash,1.0
17,18,hotel,3.0,0,0,sub020,count trash,1.0
18,19,education_donation,2.0,0,1,sub020,count trash,1.0
19,20,binge_drinking,3.0,0,1,sub020,count trash,1.0
0,1,marijuana_driving,2.0,0,0,sub021,free viewing,1.0
1,2,drugged_driving,1.0,1,0,sub021,free viewing,1.0
2,3,burger,1.0,0,1,sub021,free viewing,1.0
3,4,salad,2.0,1,1,sub021,free viewing,1.0
4,5,brunch,3.0,1,1,sub021,free viewing,1.0
5,6,texting_driving,3.0,0,1,sub021,free viewing,1.0
6,7,hotel,3.0,1,1,sub021,free viewing,1.0
7,8,smartphone,2.0,0,1,sub021,free viewing,1.0
8,9,lawyer,2.0,0,1,sub021,free viewing,1.0
9,10,drunk_driving,1.0,1,0,sub021,free viewing,1.0
10,11,binge_drinking,1.0,0,1,sub021,free viewing,1.0
11,12,stop_smoking,4.0,1,1,sub021,free viewing,1.0
12,13,pizza,2.0,1,1,sub021,free viewing,1.0
13,14,underage_drinking,4.0,0,1,sub021,free viewing,1.0
14,15,buckle_up,2.0,0,1,sub021,free viewing,1.0
15,16,education_donation,3.0,0,0,sub021,free viewing,1.0
16,17,disobey_vape,2.0,1,1,sub021,free viewing,1.0
17,18,distracted_driving,2.0,0,0,sub021,free viewing,1.0
18,19,coffee,1.0,1,1,sub021,free viewing,1.0
19,20,furniture,1.0,0,0,sub021,free viewing,1.0
0,1,furniture,1.0,0,0,sub022,free viewing,1.0
1,2,smartphone,1.0,0,0,sub022,free viewing,1.0
2,3,drunk_driving,3.0,0,1,sub022,free viewing,1.0
3,4,coffee,1.0,0,0,sub022,free viewing,1.0
4,5,hotel,2.0,0,0,sub022,free viewing,1.0
5,6,underage_drinking,1.0,0,0,sub022,free viewing,1.0
6,7,disobey_vape,2.0,0,0,sub022,free viewing,1.0
7,8,salad,1.0,0,1,sub022,free viewing,1.0
8,9,education_donation,2.0,0,1,sub022,free viewing,1.0
9,10,burger,0.0,0,1,sub022,free viewing,0.0
10,11,buckle_up,1.0,1,1,sub022,free viewing,1.0
11,12,distracted_driving,2.0,1,1,sub022,free viewing,1.0
12,13,pizza,1.0,1,1,sub022,free viewing,1.0
13,14,binge_drinking,1.0,0,0,sub022,free viewing,1.0
14,15,stop_smoking,1.0,0,1,sub022,free viewing,1.0
15,16,drugged_driving,0.0,0,1,sub022,free viewing,0.0
16,17,texting_driving,3.0,1,1,sub022,free viewing,1.0
17,18,marijuana_driving,2.0,0,1,sub022,free viewing,1.0
18,19,brunch,2.0,1,1,sub022,free viewing,1.0
19,20,lawyer,3.0,0,1,sub022,free viewing,1.0
0,1,marijuana_driving,3.0,0,1,sub023,free viewing,1.0
1,2,smartphone,3.0,0,1,sub023,free viewing,1.0
2,3,lawyer,3.0,0,1,sub023,free viewing,1.0
3,4,education_donation,2.0,0,1,sub023,free viewing,1.0
4,5,burger,2.0,1,1,sub023,free viewing,1.0
5,6,underage_drinking,2.0,0,1,sub023,free viewing,1.0
6,7,binge_drinking,4.0,0,1,sub023,free viewing,1.0
7,8,furniture,1.0,1,1,sub023,free viewing,1.0
8,9,buckle_up,3.0,1,1,sub023,free viewing,1.0
9,10,distracted_driving,1.0,0,1,sub023,free viewing,1.0
10,11,drugged_driving,1.0,1,1,sub023,free viewing,1.0
11,12,disobey_vape,4.0,1,1,sub023,free viewing,1.0
12,13,salad,2.0,0,1,sub023,free viewing,1.0
13,14,texting_driving,0.0,0,1,sub023,free viewing,0.0
14,15,brunch,1.0,0,1,sub023,free viewing,1.0
15,16,pizza,1.0,1,1,sub023,free viewing,1.0
16,17,stop_smoking,1.0,1,1,sub023,free viewing,1.0
17,18,coffee,3.0,1,1,sub023,free viewing,1.0
18,19,drunk_driving,2.0,1,1,sub023,free viewing,1.0
19,20,hotel,2.0,0,1,sub023,free viewing,1.0
0,1,burger,0.0,1,1,sub024,free viewing,0.0
1,2,pizza,0.0,1,1,sub024,free viewing,0.0
2,3,texting_driving,0.0,0,1,sub024,free viewing,0.0
3,4,drunk_driving,0.0,0,1,sub024,free viewing,0.0
4,5,binge_drinking,0.0,0,0,sub024,free viewing,0.0
5,6,smartphone,0.0,0,0,sub024,free viewing,0.0
6,7,salad,1.0,1,1,sub024,free viewing,1.0
7,8,hotel,0.0,0,1,sub024,free viewing,0.0
8,9,underage_drinking,0.0,0,0,sub024,free viewing,0.0
